total_packet_rate,total_byte_rate,avg_packet_size,icmp_rate,icmp_to_total_ratio,unique_source_ips,label
196.0,12669.5,64.64030612244898,189.5,0.9668367346938775,6,1
192.0,12238.0,63.739583333333336,189.0,0.984375,4,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
199.5,12775.0,64.03508771929825,189.0,0.9473684210526315,5,1
190.0,12062.0,63.48421052631579,189.0,0.9947368421052631,3,1
189.5,12160.5,64.17150395778364,189.0,0.9973614775725593,3,1
189.0,11970.0,63.333333333333336,189.0,1.0,2,1
201.0,13015.0,64.75124378109453,189.0,0.9402985074626866,8,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
191.0,12153.0,63.6282722513089,189.0,0.9895287958115183,4,1
198.5,12705.0,64.00503778337531,190.0,0.9571788413098237,5,1
197.5,12650.0,64.0506329113924,188.0,0.9518987341772152,6,1
193.0,12329.0,63.880829015544045,189.0,0.9792746113989638,4,1
192.0,12238.0,63.739583333333336,189.0,0.984375,4,1
198.0,12742.0,64.35353535353535,189.0,0.9545454545454546,8,1
191.5,12136.0,63.3733681462141,189.0,0.9869451697127938,5,1
189.0,11970.0,63.333333333333336,189.0,1.0,2,1
195.5,13244.0,67.74424552429667,187.5,0.959079283887468,4,1
204.0,13566.0,66.5,189.0,0.9264705882352942,5,1
198.0,13159.0,66.45959595959596,189.0,0.9545454545454546,4,1
193.0,12329.0,63.880829015544045,189.0,0.9792746113989638,4,1
193.0,12306.0,63.76165803108808,187.5,0.9715025906735751,6,1
198.0,12758.0,64.43434343434343,188.5,0.952020202020202,8,1
194.0,12424.0,64.04123711340206,188.0,0.9690721649484536,5,1
194.0,12333.0,63.57216494845361,188.5,0.9716494845360825,5,1
198.5,12700.0,63.97984886649874,189.5,0.9546599496221663,6,1
190.5,12060.0,63.30708661417323,189.0,0.9921259842519685,3,1
189.0,11970.0,63.333333333333336,189.0,1.0,2,1
197.5,12732.0,64.46582278481013,189.0,0.9569620253164557,4,1
197.0,12570.0,63.807106598984774,189.0,0.9593908629441624,9,1
196.0,12550.0,64.03061224489795,189.0,0.9642857142857143,5,1
196.5,12595.0,64.09669211195929,189.0,0.9618320610687023,5,1
200.0,12909.5,64.5475,189.0,0.945,6,1
196.5,12508.0,63.653944020356235,189.0,0.9618320610687023,6,1
195.5,12558.5,64.2378516624041,189.0,0.9667519181585678,4,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
191.5,12152.0,63.45691906005222,189.0,0.9869451697127938,4,1
197.0,12507.0,63.48730964467005,189.0,0.9593908629441624,8,1
190.0,12190.5,64.16052631578947,189.5,0.9973684210526316,3,1
198.0,12791.5,64.60353535353535,188.5,0.952020202020202,5,1
199.5,12719.0,63.75438596491228,189.5,0.949874686716792,6,1
196.5,12508.0,63.653944020356235,189.0,0.9618320610687023,6,1
197.0,12641.0,64.16751269035532,188.5,0.9568527918781726,6,1
194.5,12459.0,64.05655526992288,189.0,0.9717223650385605,4,1
197.0,12570.0,63.807106598984774,189.0,0.9593908629441624,9,1
196.0,12550.0,64.03061224489795,189.0,0.9642857142857143,5,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
191.0,12106.0,63.382198952879584,189.0,0.9895287958115183,4,1
192.0,12150.0,63.28125,189.0,0.984375,3,1
191.0,12152.0,63.62303664921466,189.0,0.9895287958115183,4,1
201.0,12912.0,64.23880597014926,189.0,0.9402985074626866,5,1
198.5,12728.0,64.12090680100755,189.0,0.9521410579345088,5,1
199.0,12746.0,64.05025125628141,189.0,0.949748743718593,9,1
194.0,12358.0,63.70103092783505,189.0,0.9742268041237113,6,1
196.0,12570.0,64.13265306122449,190.0,0.9693877551020408,4,1
197.0,12620.0,64.06091370558376,188.0,0.9543147208121827,5,1
193.0,12273.0,63.590673575129536,189.5,0.9818652849740933,5,1
194.0,12430.0,64.0721649484536,188.5,0.9716494845360825,4,1
189.0,11970.0,63.333333333333336,189.0,1.0,2,1
192.0,12207.0,63.578125,189.0,0.984375,6,1
196.5,12585.0,64.04580152671755,189.0,0.9618320610687023,6,1
194.5,12450.0,64.01028277634961,189.5,0.974293059125964,4,1
195.5,12520.0,64.04092071611254,188.5,0.9641943734015346,5,1
200.0,12805.0,64.025,189.0,0.945,6,1
193.5,12519.5,64.70025839793281,189.0,0.9767441860465116,4,1
192.5,12268.0,63.72987012987013,189.5,0.9844155844155844,4,1
196.0,12570.0,64.13265306122449,190.0,0.9693877551020408,4,1
197.5,12712.0,64.36455696202532,188.5,0.9544303797468354,8,1
190.5,12092.0,63.4750656167979,189.5,0.994750656167979,3,1
189.0,11970.0,63.333333333333336,189.0,1.0,2,1
182.0,11675.5,64.1510989010989,178.5,0.9807692307692307,4,1
189.0,12203.0,64.56613756613757,178.5,0.9444444444444444,5,1
193.0,12329.0,63.880829015544045,189.0,0.9792746113989638,4,1
192.0,12238.0,63.739583333333336,189.0,0.984375,4,1
200.0,12862.0,64.31,189.0,0.945,10,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
191.0,12153.0,63.6282722513089,189.0,0.9895287958115183,4,1
202.0,13737.0,68.0049504950495,189.0,0.9356435643564357,5,1
201.0,13339.0,66.363184079602,189.0,0.9402985074626866,5,1
192.5,12670.0,65.81818181818181,189.0,0.9818181818181818,3,1
187.5,11875.0,63.333333333333336,187.5,1.0,2,1
191.5,12195.0,63.68146214099217,189.0,0.9869451697127938,4,1
201.0,12969.0,64.5223880597015,188.5,0.9378109452736318,10,1
197.0,12620.0,64.06091370558376,188.0,0.9543147208121827,5,1
195.5,12479.0,63.831202046035806,189.0,0.9667519181585678,6,1
193.5,12323.0,63.684754521963825,187.5,0.9689922480620154,5,1
196.5,12595.0,64.09669211195929,189.0,0.9618320610687023,5,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
191.0,12153.0,63.6282722513089,189.0,0.9895287958115183,4,1
200.5,12877.0,64.22443890274315,189.0,0.942643391521197,9,1
192.0,12150.0,63.28125,189.0,0.984375,3,1
192.5,12191.5,63.33246753246753,189.0,0.9818181818181818,4,1
196.0,12555.0,64.0561224489796,189.0,0.9642857142857143,5,1
196.0,12509.0,63.82142857142857,189.0,0.9642857142857143,5,1
197.0,12641.0,64.16751269035532,188.5,0.9568527918781726,6,1
194.5,12630.5,64.93830334190231,188.0,0.9665809768637532,4,1
192.0,12197.0,63.526041666666664,189.0,0.984375,5,1
200.5,12877.0,64.22443890274315,189.0,0.942643391521197,9,1
194.0,12440.0,64.12371134020619,188.0,0.9690721649484536,4,1
193.0,12329.0,63.880829015544045,189.0,0.9792746113989638,4,1
194.5,12388.0,63.69151670951157,188.5,0.9691516709511568,5,1
191.5,12421.5,64.86422976501305,189.0,0.9869451697127938,4,1
192.0,12150.0,63.28125,189.0,0.984375,3,1
201.0,12958.0,64.46766169154229,189.0,0.9402985074626866,5,1
199.5,12917.0,64.7468671679198,189.0,0.9473684210526315,9,1
196.5,12508.0,63.653944020356235,189.0,0.9618320610687023,6,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
197.0,12766.0,64.80203045685279,189.0,0.9593908629441624,5,1
194.0,12333.0,63.57216494845361,189.0,0.9742268041237113,5,1
194.5,12460.0,64.06169665809769,189.0,0.9717223650385605,4,1
195.5,12535.0,64.11764705882354,189.5,0.969309462915601,4,1
190.5,12076.0,63.39107611548557,188.5,0.989501312335958,4,1
195.5,12430.0,63.58056265984655,189.0,0.9667519181585678,8,1
192.5,12242.0,63.5948051948052,189.0,0.9818181818181818,5,1
196.5,12642.0,64.33587786259542,189.0,0.9618320610687023,4,1
200.5,12976.0,64.71820448877806,189.0,0.942643391521197,6,1
194.5,12419.0,63.850899742930594,189.0,0.9717223650385605,5,1
192.0,12238.0,63.739583333333336,189.0,0.984375,4,1
195.0,12505.0,64.12820512820512,189.0,0.9692307692307692,4,1
198.0,12742.0,64.35353535353535,189.0,0.9545454545454546,8,1
191.0,12153.0,63.6282722513089,189.0,0.9895287958115183,4,1
200.5,12995.0,64.81296758104739,189.0,0.942643391521197,4,1
191.5,12136.0,63.3733681462141,189.5,0.9895561357702349,4,1
192.0,12150.0,63.28125,189.0,0.984375,3,1
197.0,12682.0,64.3756345177665,189.5,0.9619289340101523,4,1
199.5,12936.0,64.84210526315789,188.0,0.9423558897243107,4,1
200.5,12908.0,64.3790523690773,189.0,0.942643391521197,10,1
195.5,12519.0,64.03580562659846,189.0,0.9667519181585678,6,1
191.0,12313.5,64.46858638743456,188.5,0.9869109947643979,4,1
193.5,12395.0,64.05684754521964,188.0,0.9715762273901809,4,1
196.5,12590.0,64.07124681933843,187.5,0.9541984732824428,5,1
195.0,12590.0,64.56410256410257,189.0,0.9692307692307692,5,1
192.0,12238.0,63.739583333333336,189.0,0.984375,4,1
190.0,12331.5,64.90263157894736,189.0,0.9947368421052631,3,1
192.0,12207.0,63.578125,189.0,0.984375,6,1
198.0,12778.0,64.53535353535354,189.0,0.9545454545454546,4,1
195.0,12449.0,63.84102564102564,189.0,0.9692307692307692,6,1
199.5,13399.0,67.16290726817043,189.0,0.9473684210526315,5,1
203.0,13953.0,68.73399014778325,189.0,0.9310344827586207,5,1
197.0,12862.0,65.28934010152284,189.5,0.9619289340101523,4,1
190.5,12123.0,63.63779527559055,188.5,0.989501312335958,4,1
197.5,12697.0,64.2886075949367,189.0,0.9569620253164557,8,1
196.0,12578.0,64.1734693877551,189.5,0.9668367346938775,4,1
192.0,12166.0,63.364583333333336,188.5,0.9817708333333334,4,1
197.0,12611.0,64.01522842639594,195.0,0.9898477157360406,4,1
194.0,12332.0,63.56701030927835,189.0,0.9742268041237113,5,1
198.0,12732.0,64.3030303030303,189.0,0.9545454545454546,5,1
197.0,12625.0,64.08629441624366,189.0,0.9593908629441624,6,1
193.0,12329.0,63.880829015544045,189.0,0.9792746113989638,4,1
36.5,2425.5,66.45205479452055,23.5,0.6438356164383562,10,1
64.5,4065.5,63.031007751937985,57.0,0.8837209302325582,5,1
70.0,4385.0,62.642857142857146,64.0,0.9142857142857143,4,1
68.5,4183.0,61.065693430656935,63.5,0.927007299270073,5,1
71.5,4449.0,62.22377622377623,65.0,0.9090909090909091,5,1
94.5,5985.0,63.333333333333336,94.5,1.0,2,1
94.5,5985.0,63.333333333333336,94.5,1.0,2,1
110.5,7528.5,68.13122171945702,94.5,0.8552036199095022,9,1
101.5,6468.0,63.724137931034484,94.5,0.9310344827586207,6,1
100.0,6475.0,64.75,94.5,0.945,4,1
100.5,6520.0,64.87562189054727,94.5,0.9402985074626866,4,1
103.5,6804.5,65.74396135265701,94.5,0.9130434782608695,5,1
98.0,6306.5,64.35204081632654,94.5,0.9642857142857143,4,1
100.5,6520.0,64.87562189054727,94.5,0.9402985074626866,4,1
102.0,6610.0,64.80392156862744,94.5,0.9264705882352942,5,1
101.5,6494.0,63.98029556650246,94.5,0.9310344827586207,8,1
96.5,6265.5,64.92746113989638,94.5,0.9792746113989638,4,1
97.5,6165.0,63.23076923076923,94.5,0.9692307692307692,3,1
108.5,7106.5,65.49769585253456,94.5,0.8709677419354839,7,1
104.0,6730.0,64.71153846153847,94.5,0.9086538461538461,6,1
96.5,6168.0,63.917098445595855,94.5,0.9792746113989638,4,1
100.0,6475.0,64.75,94.5,0.945,4,1
106.5,6937.0,65.13615023474179,94.5,0.8873239436619719,9,1
102.0,6554.0,64.25490196078431,94.5,0.9264705882352942,6,1
98.0,6296.0,64.24489795918367,94.5,0.9642857142857143,4,1
102.0,6610.0,64.80392156862744,94.5,0.9264705882352942,5,1
98.0,6211.0,63.37755102040816,94.5,0.9642857142857143,4,1
95.0,6015.0,63.31578947368421,95.0,1.0,2,1
99.5,6450.0,64.82412060301507,94.0,0.9447236180904522,4,1
48.5,3163.0,65.21649484536083,45.0,0.9278350515463918,4,1
158.5,10248.0,64.65615141955836,147.0,0.9274447949526814,10,1
100.5,6520.0,64.87562189054727,94.5,0.9402985074626866,4,1
96.5,6168.0,63.917098445595855,94.5,0.9792746113989638,4,1
103.0,6655.0,64.6116504854369,94.5,0.9174757281553398,5,1
102.0,6610.0,64.80392156862744,94.5,0.9264705882352942,5,1
98.5,6344.0,64.40609137055837,94.5,0.9593908629441624,4,1
97.5,6253.0,64.13333333333334,94.5,0.9692307692307692,4,1
100.5,6402.0,63.701492537313435,94.5,0.9402985074626866,7,1
97.5,6165.0,63.23076923076923,94.5,0.9692307692307692,3,1
105.5,6913.0,65.5260663507109,94.5,0.8957345971563981,6,1
100.0,6434.0,64.34,94.5,0.945,5,1
100.5,6433.0,64.00995024875621,94.5,0.9402985074626866,5,1
100.5,6520.0,64.87562189054727,94.5,0.9402985074626866,4,1
101.0,6710.5,66.44059405940594,94.5,0.9356435643564357,4,1
96.5,6168.0,63.917098445595855,94.5,0.9792746113989638,4,1
105.5,6862.0,65.04265402843602,95.0,0.9004739336492891,10,1
101.5,6580.0,64.82758620689656,94.0,0.9261083743842364,5,1
98.0,6211.0,63.37755102040816,94.5,0.9642857142857143,4,1
110.0,7963.5,72.39545454545454,94.5,0.8590909090909091,5,1
107.0,7801.0,72.90654205607477,95.0,0.8878504672897196,5,1
104.0,6777.0,65.16346153846153,94.5,0.9086538461538461,6,1
100.0,6490.0,64.9,94.0,0.94,4,1
101.5,6581.0,64.83743842364532,94.5,0.9310344827586207,8,1
99.0,6343.0,64.07070707070707,94.5,0.9545454545454546,5,1
104.0,6743.0,64.83653846153847,94.5,0.9086538461538461,5,1
105.0,6790.0,64.66666666666667,94.5,0.9,6,1
101.0,6438.0,63.742574257425744,94.5,0.9356435643564357,6,1
100.0,6475.0,64.75,94.5,0.945,4,1
94.5,5985.0,63.333333333333336,94.5,1.0,2,1
96.0,6075.0,63.28125,94.5,0.984375,3,1
108.0,7017.0,64.97222222222223,94.5,0.875,10,1
98.5,6344.0,64.40609137055837,94.5,0.9593908629441624,4,1
101.0,6566.0,65.00990099009901,94.5,0.9356435643564357,4,1
104.5,6744.0,64.53588516746412,94.5,0.9043062200956937,6,1
101.0,6438.0,63.742574257425744,94.5,0.9356435643564357,6,1
101.5,6565.0,64.67980295566502,94.5,0.9310344827586207,5,1
100.5,6520.0,64.87562189054727,94.5,0.9402985074626866,4,1
108.0,6971.0,64.54629629629629,94.5,0.875,10,1
97.5,6253.0,64.13333333333334,94.5,0.9692307692307692,4,1
